episode,success,near_miss,fail,first_pass_success,steps,time_s,capture_time_s,min_dist_m,init_px_m,init_py_m,init_pz_m,init_dist_m,init_bearing_rad
0,1,0,0,1,249,5.0,5.0,0.9504811763763428,138.37493896484375,-13.186001777648926,105.39569854736328,174.4412384033203,-0.09500496834516525
1,1,0,0,0,205,4.12,4.12,0.9784048199653625,127.12616729736328,6.027390956878662,79.11925506591797,149.857421875,0.04737719148397446
2,0,1,0,0,1251,25.04,nan,1.247001051902771,168.69558715820312,8.633048057556152,87.78680419921875,190.36610412597656,0.05113070085644722
3,0,0,1,0,1251,25.04,nan,1.6742819547653198,132.02084350585938,-32.857887268066406,80.44050598144531,158.050048828125,-0.24392811954021454
4,0,0,1,0,1251,25.04,nan,1.8568683862686157,129.0734405517578,30.896387100219727,115.5625228881836,175.9807891845703,0.23494979739189148
5,0,0,1,0,1251,25.04,nan,2.1564900875091553,174.0447235107422,36.38182830810547,88.70336151123047,198.70452880859375,0.2060699164867401
6,0,1,0,0,1251,25.04,nan,1.1166220903396606,156.038818359375,15.85744857788086,95.1385269165039,183.4418487548828,0.10127733647823334
7,1,0,0,0,285,5.72,5.72,0.358024001121521,168.65757751464844,-18.58481788635254,109.42285919189453,201.90130615234375,-0.10974982380867004
8,0,1,0,0,1251,25.04,nan,1.0064857006072998,136.57652282714844,4.731204986572266,99.57720947265625,169.0891876220703,0.03462757542729378
9,1,0,0,1,242,4.86,4.86,0.9297816753387451,155.60108947753906,-8.699475288391113,86.60529327392578,178.29148864746094,-0.05585068464279175
10,0,0,1,0,1251,25.04,nan,1.5380403995513916,122.49340057373047,18.377174377441406,85.77888488769531,150.6664276123047,0.14891521632671356
11,1,0,0,0,260,5.22,5.22,0.8266658782958984,162.2515869140625,-11.797523498535156,114.13062286376953,198.72232055664062,-0.07258356362581253
12,0,1,0,0,1251,25.04,nan,1.2813925743103027,136.5473175048828,-5.228638648986816,103.8519515991211,171.632568359375,-0.038273073732852936
13,0,0,1,0,1251,25.04,nan,2.1081459522247314,150.46331787109375,24.039714813232422,100.34795379638672,182.44679260253906,0.1584322303533554
14,0,0,1,0,1251,25.04,nan,1.6259558200836182,163.25009155273438,29.535072326660156,90.01824188232422,188.7490234375,0.17898313701152802
